"","timestamp","bean_kind","extract_age","alcohol_ratio","alcohol_heated","split","oak_finish","flavor","smell_boozy","smell_vanilla","color","use_again"
"1","3/31/2021 14:51","Indonesian","1-3 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","No",5,1,5,5,"Yes"
"2","3/31/2021 14:52","Madagascar Bourbon Cure","1-3 months","Triple Fold (About 3 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","No",5,2,4,4,"Yes"
"3","3/31/2021 14:53","All of the above ","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",5,5,5,5,"Yes"
"4","3/31/2021 14:53","Indonesian","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",4,3,3,3,"Maybe"
"5","3/31/2021 14:57","Indonesian","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","","None of the beans were split","No",4,5,5,4,"Yes"
"6","3/31/2021 14:58","V. tahitensis Papua New Guinea","12-15 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","Warmed gently prior to adding beans","None of the beans were split","No",1,1,2,4,"No"
"7","3/31/2021 14:59","Madagascar Bourbon Cure","9-12 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","Yes, I used Medium Toast",5,5,5,4,"Yes"
"8","3/31/2021 15:00","V. tahitensis Papua New Guinea","18 months or older","Single Fold (About 1 oz beans to about 1 cup of alcohol)","Yes, gently heated alcohol before adding to beans","None of the beans were split","Yes, I used Medium Toast",4,4,4,4,"No"
"9","3/31/2021 15:04","Indonesian","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Yes, all the beans were split","No",4,4,4,4,"Yes"
"10","3/31/2021 15:14","V. tahitensis Papua New Guinea","3-6 months","Triple Fold (About 3 oz beans to about 1 cup of alcohol)","No","Yes, all the beans were split","",4,5,5,5,"Yes"
"11","3/31/2021 15:25","Madagascar Bourbon Cure","3-6 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","Not yet; needs more time extracting. ",3,2,3,4,"Maybe"
"12","3/31/2021 15:29","Indonesian","6-9 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",4,4,4,4,"Maybe"
"13","3/31/2021 15:31","Indonesian","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Yes, all the beans were split","No",3,3,3,5,"No"
"14","3/31/2021 15:35","Madagascar Bourbon Cure","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Yes, all the beans were split","No",5,5,5,5,"Yes"
"15","3/31/2021 15:36","Madagascar Mexican Cure","3-6 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",5,4,4,4,"Yes"
"16","3/31/2021 15:41","Indonesian","6-9 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","Yes, I used Medium Toast",4,4,4,5,"Yes"
"17","3/31/2021 15:42","Madagascar Bourbon Cure","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","Unheated","None of the beans were split","No",3,4,3,3,"Yes"
"18","3/31/2021 15:43","Madagascar Bourbon Cure","12-15 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",5,3,3,4,"Maybe"
"19","3/31/2021 15:44","Madagascar Bourbon Cure","9-12 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","no","Part of the beans were split","No",5,5,5,4,"Yes"
"20","3/31/2021 15:46","Ugandan","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No ","None of the beans were split","Yes, I used Char",5,4,4,5,"Yes"
"21","3/31/2021 15:47","Indonesian","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","no","None of the beans were split","No",5,3,2,3,"Yes"
"22","3/31/2021 15:51","Madagascar Bourbon Cure","6-9 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","No",4,3,5,4,"Yes"
"23","3/31/2021 16:02","Madagascar Bourbon Cure","3-6 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Part of the beans were split","No",5,3,5,4,"Yes"
"24","3/31/2021 16:03","Madagascar Bourbon Cure","3-6 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",4,3,3,4,"Yes"
"25","3/31/2021 16:04","Madagascar Bourbon Cure","3-6 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",3,3,3,4,"Yes"
"26","3/31/2021 16:05","Madagascar Bourbon Cure","15-18 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Yes, all the beans were split","No",5,5,5,5,"Yes"
"27","3/31/2021 16:07","Madagascar Bourbon Cure","1-3 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",NA,NA,3,NA,""
"28","3/31/2021 16:08","Indonesian","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",NA,NA,3,NA,""
"29","3/31/2021 16:09","Madagascar Bourbon Cure","1-3 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",NA,NA,3,NA,""
"30","3/31/2021 16:10","Madagascar Bourbon Cure","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",NA,NA,3,NA,""
"31","3/31/2021 16:12","Madagascar Bourbon Cure","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",NA,NA,NA,NA,"Maybe"
"32","3/31/2021 16:14","","","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",5,4,4,4,"Yes"
"33","3/31/2021 16:17","Madagascar Bourbon Cure","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","Yes, all the beans were split","No",4,3,3,4,"Yes"
"34","3/31/2021 16:21","Madagascar Bourbon Cure","18 months or older","Higher than Triple Fold (More than 3 oz beans per cup of alcohol)","Nope ","Part of the beans were split","No",5,5,5,5,"Yes"
"35","3/31/2021 16:26","Madagascar Mexican Cure","1-3 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","Yes, all the beans were split","No",5,4,5,5,"Yes"
"36","3/31/2021 16:28","Madagascar Bourbon Cure","1-3 months","Double Fold (About 2 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",NA,NA,NA,NA,"Maybe"
"37","3/31/2021 16:40","Papua New Guinea V. planifolia","9-12 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","24 hours 130 degree water bath","Part of the beans were split","Have the oak, will do soon",4,2,3,4,"Yes"
"38","3/31/2021 16:41","Papua New Guinea V. planifolia","6-9 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","24 hours in 130 degree water bath","None of the beans were split","Ready for oak",3,3,3,4,"Yes"
"39","3/31/2021 16:43","Madagascar Mexican Cure","1-3 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","Not yet but may add after another few months",3,3,4,3,"Yes"
"40","3/31/2021 16:44","V. tahitensis Papua New Guinea","6-9 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",5,5,5,5,"Yes"
"41","3/31/2021 16:47","Madagascar Bourbon Cure","6-9 months","Single Fold (About 1 oz beans to about 1 cup of alcohol)","No","None of the beans were split","No",4,4,4,4,"Yes"
