Timestamp,Extracting Liquid,Brand Name,What kind of beans did you use?,Age of the Extract at Testing,Ratio of Beans to Booze,Was the alcohol or extract heated at all? Please specify details if so.,Were the beans split?,Did you finish the extract with Oak Blocks?,How would you rate the overall flavor of the extract?,How would you rate the booziness of the extract? (Smelling),How Vanilla-y does it smell?,Please rate the color of the finished extract,Would you use this combination again?,Other comments or notes:
3/31/2021 14:51,Vodka,Phillips ,Indonesian,1-3 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,1,5,5,Yes,
3/31/2021 14:52,White/Light/Silver Rum,,Madagascar Bourbon Cure,1-3 months,Triple Fold (About 3 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,2,4,4,Yes,
3/31/2021 14:53,Diluted Everclear (List the ratio and proof you used in the comments),Everclear 190,All of the above ,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,5,5,5,Yes,I don't split my beans I cut them in half.
3/31/2021 14:53,Gold Rum,Bacardi,Indonesian,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,3,3,3,Maybe,
3/31/2021 14:57,Diluted Everclear (List the ratio and proof you used in the comments),Everclear,Indonesian,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),,None of the beans were split,No,4,5,5,4,Yes,
3/31/2021 14:58,Spiced Rum,Sailor Jerry,V. tahitensis Papua New Guinea,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),Warmed gently prior to adding beans,None of the beans were split,No,1,1,2,4,No,"This poor, sad batch was baaad until we added oak blocks."
3/31/2021 14:59,White/Light/Silver Rum,Cruzen,Madagascar Bourbon Cure,9-12 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,"Yes, I used Medium Toast",5,5,5,4,Yes,
3/31/2021 15:00,Spiced Rum,Sailor Jerry,V. tahitensis Papua New Guinea,18 months or older,Single Fold (About 1 oz beans to about 1 cup of alcohol),"Yes, gently heated alcohol before adding to beans",None of the beans were split,"Yes, I used Medium Toast",4,4,4,4,No,"Still boozy, but manageable after the oak blocks!"
3/31/2021 15:04,Vodka,Smirnoff,Indonesian,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,4,4,4,4,Yes,
3/31/2021 15:14,Vodka,,V. tahitensis Papua New Guinea,3-6 months,Triple Fold (About 3 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",,4,5,5,5,Yes,
3/31/2021 15:25,Vodka,Smirnoff,Madagascar Bourbon Cure,3-6 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,Not yet; needs more time extracting. ,3,2,3,4,Maybe,
3/31/2021 15:29,Vodka,Svedka ,Indonesian,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,4,4,4,Maybe,
